client_score,home_score,match_id,result,sport_event_id,uuid
2,3,MC749127305,home win,SP965133866,3e527d0e-5411-4b2b-9ebd-c64281dac194
0,1,MC170297754,home win,SP965133866,42707622-4883-417a-a42a-97bfe651f9c2
0,2,MC944317900,home win,SP965133866,2f182300-3037-400e-b49d-5d7abc48939b
3,8,MC104068228,home win,SP965133866,58bb8264-2709-40e6-b8ae-4b8d0e7829d1
1,2,MC955391443,home win,SP965133866,8ff31e33-bb23-4ec6-861f-de4693d5aa7d
2,3,MC304880950,home win,SP965133866,03c39594-0501-4165-8104-d5e12eca0f12
0,2,MC686563413,home win,SP965133866,267ffc19-c24c-426e-a69c-09bd3ffe6819
1,2,MC218824610,home win,SP965133866,1e03be25-f86b-40f7-a22c-14c6e7671df6
0,3,MC789472544,home win,SP965133866,3dce67b9-1be5-4aad-bb8c-125f6e4d79b0
0,1,MC633027948,home win,SP965133866,0209453f-0f1d-4f1e-b929-e4d4fc98e7e4
2,3,MC723471372,home win,SP965133866,5dd61119-2b62-40ae-811a-d88f6b81b78e
5,8,MC545408910,home win,SP965133866,77825a19-02dd-4382-a894-5c576639c13f
2,7,MC170900593,home win,SP965133866,8faaed3c-0a75-4107-867a-eb38c633b9c0
0,1,MC962686110,home win,SP965133866,6ed29e16-ebb5-4f42-b689-b8673d558cc4
0,2,MC342462305,home win,SP965133866,b488ee22-cbab-4557-8471-2c545e754951
0,1,MC916696736,home win,SP965133866,6ec63bc2-6a01-4b1a-99b9-f0612f893802
0,2,MC562462356,home win,SP965133866,e51e3ab8-481e-48c4-9549-e3be350a4cd0
2,3,MC292529341,home win,SP965133866,39e968d4-eb3c-4819-8226-82dacb2c445e
0,3,MC119167459,home win,SP965133866,0c25af80-bf6d-428a-a17b-3e56715ee231
3,6,MC301705316,home win,SP965133866,28276e95-76d2-4204-b0d7-e29741029979
0,1,MC267860033,home win,SP965133866,fff65a04-0555-4acc-ab2f-0c4a4860bf84
1,2,MC985160576,home win,SP965133866,197e1ebf-3478-4026-886c-1d47c3bf26ab
0,1,MC606732899,home win,SP965133866,9dccc533-ebc8-4c95-bd3b-e3100c4c2f37
0,3,MC289329035,home win,SP965133866,e610f1e2-3283-4581-b723-a9b33d52d08e
0,1,MC417008704,home win,SP965133866,cea7fbef-8d92-4d95-9413-b21d60832d94
0,3,MC434009785,home win,SP965133866,380c353a-4b63-42de-a6d7-f156a7312f1b
1,3,MC381827944,home win,SP965133866,f68356f9-dc9e-4349-8b4a-b4ce57b973d1
1,2,MC895360988,home win,SP965133866,846137b8-ed71-45b8-94e2-d24e62028836
1,2,MC246468586,home win,SP965133866,8d793196-3794-4256-a24e-c57879f951c2
0,1,MC272499408,home win,SP965133866,5e3920e6-d4b8-47b2-9288-1ca4530c247e
0,1,MC796609924,home win,SP965133866,aff9ea4d-f00a-4c69-9904-90cc16fed02d
0,2,MC730091502,home win,SP350248389,1e26bdda-7cb7-46c4-ae20-58aaf62403cc
2,3,MC671609927,home win,SP350248389,cfbdf26f-6c26-45fe-b243-e0efa06caea3
0,3,MC247815112,home win,SP350248389,aff8bdf3-cda5-45fd-a145-febd2eba7891
1,3,MC245498331,home win,SP350248389,74de8fae-a22d-47c8-92d4-c75764ed72c0
1,7,MC534739629,home win,SP350248389,feb3fc0c-283a-4ed4-88a8-6ef73609562a
1,3,MC472449988,home win,SP350248389,11c072fa-0ffb-461d-af51-f84ef2b91ea0
0,3,MC872485685,home win,SP350248389,255a89fc-6407-42e1-8419-4e8e2d061ff7
1,4,MC740881777,home win,SP350248389,c0442d75-47bf-45f0-a9d9-5006a97a2d3a
2,6,MC676511342,home win,SP350248389,96c4cc28-e8df-4afc-83ee-c1387db4fc63
1,3,MC338550725,home win,SP350248389,5cba7120-0953-4da4-bdcb-cb2504aff84c
3,5,MC554387838,home win,SP350248389,ac9304a2-13d7-437a-b40c-b022f480fba9
0,3,MC978163790,home win,SP350248389,040d3632-45a3-4ad7-ac16-26529bec944f
1,2,MC820567308,home win,SP350248389,f8689818-4406-4bc4-a12c-d2ab15ce3d4e
0,2,MC231183039,home win,SP350248389,2dfb2d07-edf8-4cec-93d0-c747a974a05d
0,2,MC431680876,home win,SP350248389,39cea18b-4086-4671-984d-e04fa04d5e6c
0,2,MC912984616,home win,SP350248389,4d79b1b0-fd40-44c8-ba10-2a2437630159
0,2,MC910886924,home win,SP350248389,0a8a0abc-fe19-43d8-992c-6e1998632929
1,2,MC149919769,home win,SP350248389,dcdc9b64-8b82-46c1-ad05-6e41ab3c51b5
0,1,MC206571587,home win,SP350248389,dcbc2951-4f25-488a-804e-55d0f16c13b9
0,1,MC346376067,home win,SP350248389,4974ab83-d65a-4741-af1a-fec1044d046b
2,3,MC883050196,home win,SP350248389,4071afd7-1a9e-43cc-b9b1-86483ac8d454
0,1,MC243221675,home win,SP350248389,80fdd813-0249-4aa6-9bd3-9732e8238891
0,1,MC946073529,home win,SP350248389,2e59fbf8-ad22-4ce6-95ee-412fa04dc4db
0,1,MC335092307,home win,SP350248389,64b138d8-8395-46d5-9e6e-53d98f7c6edc
2,3,MC642232115,home win,SP350248389,f22f489b-f652-4fbf-a83f-4c88d7be989b
1,2,MC969200206,home win,SP350248389,a5b9e893-1ff8-4e6e-9857-7e28dae4784f
0,3,MC817442396,home win,SP350248389,07500b01-76cc-494f-a02d-a3bd19635762
0,3,MC737361802,home win,SP350248389,aef94088-70d2-449e-aa4f-3fa74fe3b21a
4,6,MC409513495,home win,SP350248389,3002c520-0db2-4915-955a-193e3115eb9e
1,3,MC417495317,home win,SP350248389,fcfd4799-6b04-4756-94fc-23f4c162529e
2,3,MC100654441,home win,SP350248389,41ce10c5-f169-47d5-8c35-89b4b72a42a2
2,0,MC677170257,home failed,SP889129070,6c075a13-9e90-435a-a113-cb1093237e44
3,3,MC673095322,draw,SP889129070,94cf2182-cfe4-4262-8c35-b7713628f4f7
1,1,MC214019067,draw,SP889129070,36f9bb60-ae4a-4229-8951-18aa103717fb
1,0,MC262422671,home failed,SP889129070,6966031b-428e-41f6-be97-7244ff5e7fab
2,0,MC287568475,home failed,SP889129070,e579d166-fe19-42ef-b8f3-5b1bd54da932
2,3,MC211187239,home win,SP889129070,78832d17-3289-43c9-bc30-6a9907382b78
0,2,MC153856887,home win,SP889129070,e9cac04b-5f69-4fae-be9c-321af8962a29
0,3,MC219434264,home win,SP889129070,6c7e2d15-6b8e-4fd2-a94b-78848ce8314e
0,0,MC343111090,draw,SP889129070,1ed4b378-6c07-4f58-afe2-a3077cac297e
1,0,MC372911113,home failed,SP889129070,9df98b83-409a-4e22-a856-2f3268bb2b21
8,8,MC239430691,draw,SP889129070,a924a651-8b66-4a39-84b4-0329f53c66ec
3,0,MC278825718,home failed,SP889129070,5fbf7873-ce4f-4d1b-9c5b-b79169d48d0e
4,6,MC806783804,home win,SP889129070,c5e38cec-fb1d-4569-9687-cfbbc2f40964
0,0,MC403621524,draw,SP889129070,1fdd1944-61b4-4cb3-a076-15c02e54ee3a
2,2,MC236358367,draw,SP889129070,294ecc69-489c-445c-bacf-a5333e6e9cbd
1,0,MC413552439,home failed,SP889129070,23fcec16-ceac-4dac-8570-4763af0a80d8
1,0,MC823224492,home failed,SP889129070,02fa2cd7-1361-4ff7-80cb-db2b32b45b68
2,2,MC382382516,draw,SP889129070,984129ca-6a14-4e40-a88d-75c27bf405c3
0,0,MC925108902,draw,SP889129070,8c8039d6-0aed-46ce-af8a-a9f5e5dfd7f4
1,0,MC928481352,home failed,SP889129070,c66e22d5-d834-482c-aa18-923af4d585cf
2,0,MC764874180,home failed,SP889129070,a8aeaa08-e907-4c26-9bae-d07a03325fc9
6,0,MC335266552,home failed,SP889129070,72e0a391-a35a-425b-9c37-251e7e28a76b
0,1,MC801288695,home win,SP889129070,33269ed3-763b-4735-9883-11414c5c06b3
1,2,MC852058817,home win,SP889129070,0d9296a1-380a-4e92-b636-0d9599367beb
1,0,MC281927086,home failed,SP889129070,11844450-64b4-43d8-8f77-7c864ae8b675
2,0,MC827640968,home failed,SP889129070,913a04ef-3246-46a5-85aa-9a21dc6aae88
3,0,MC553574579,home failed,SP889129070,43ec15f5-6d6d-47c9-a63f-2de6702cbbcd
0,3,MC514377342,home win,SP889129070,501876f7-1f24-4334-90c1-ea4b6b29a879
0,1,MC180501645,home win,SP889129070,9a1b882f-b336-4d44-b7de-027cd5b6ecee
0,0,MC425032675,draw,SP889129070,f5cca76b-e873-4623-8f76-3e3de4a792d2
7,7,MC877418774,draw,SP889129070,ea2342e1-7f81-4a92-a232-ce3391980089
