name,score,sportsman_id,uuid
speed,33,SM300992047,15266d5f-ed91-4278-b0f6-0a6cbd88e0e2
stamina,96,SM300992047,e20fee45-de52-4cd7-b5b3-2e3ba49482a5
shoot,66,SM300992047,74f46e73-5b9a-45e1-b6f1-6ad9f1981e6c
headed,40,SM300992047,e050ba43-ae53-4c85-9d68-0880c52daa3f
pass,2,SM300992047,56c24a50-d059-498a-a123-7945f0fc2347
defend,57,SM300992047,939ea832-eb45-4815-94bf-297fab397718
skill,39,SM300992047,715e75e4-48b3-4e7a-ad22-932cd7bf5046
speed,34,SM474813722,430e9d81-f34f-42ba-a42a-1aaf4562a5a9
stamina,52,SM474813722,ebf603d4-bb92-4c50-9994-17ce0a33b4fd
shoot,22,SM474813722,f9daf51d-0795-4664-8e5b-1e42f82cb2d5
headed,47,SM474813722,11def211-3e75-4edb-82f6-cb7ddac29fdb
pass,30,SM474813722,905f6cd4-d81a-41c8-8fd5-bb5f6b33ebe5
defend,72,SM474813722,dce8ec9e-e825-4ea3-8bde-7b6b021cd394
skill,47,SM474813722,f0327b5d-638b-4eae-b601-d109a1152d36
speed,99,SM131850129,2b082d89-1d6f-4db4-bdd6-136c78ce0895
stamina,86,SM131850129,3e5313f2-5222-48f2-a42e-dddaf70545aa
shoot,59,SM131850129,78c87c34-4f88-456c-a72a-aeb5d59a8421
headed,44,SM131850129,663e8f7a-5d3e-41c8-a3fc-665acb5f2dd9
pass,13,SM131850129,dc2dbc49-54cb-443b-93ec-cd4fe19bbab1
defend,99,SM131850129,bfb3b8a9-3c19-4505-bfc7-215a4f433784
skill,44,SM131850129,43cdf7df-759f-48a2-b0d1-9d543a6f90d7
speed,56,SM768887078,dc789e6a-d000-4933-ba5b-79e3328c9635
stamina,48,SM768887078,f082f1f2-4d25-4f69-88b4-cc737f98dd76
shoot,8,SM768887078,994bf085-cc89-40f0-865c-74b5c0385483
headed,64,SM768887078,aec04ce0-5ee7-4db5-aacd-98600353cc4b
pass,40,SM768887078,5bf78a05-485b-4ef2-9311-67c8ddb8f0fa
defend,83,SM768887078,ba91ab1f-6b4b-4138-b4b5-80250b5098c2
skill,41,SM768887078,477a8005-d40c-4809-bf91-b545e62242aa
speed,21,SM153485033,96a41d70-3ba3-49ae-8e3d-3d991b3250f3
stamina,80,SM153485033,eadaeea7-cf35-4d5f-bfd1-36b7beaf3b3c
shoot,69,SM153485033,e581afce-eb5a-47ac-a7ec-2e59b4c0bf18
headed,71,SM153485033,f66c3924-3efa-463d-8809-93fabb7a1df1
pass,29,SM153485033,1f2fbf67-b292-487a-a79e-b9bf71c70873
defend,96,SM153485033,d94e3734-f7d4-4f48-a522-1c7a099e2c92
skill,86,SM153485033,43b3309a-9f7a-40a6-9a52-8faa843274ba
speed,30,SM154923768,0a859b43-58ca-4387-a6a5-c079a7eb8171
stamina,94,SM154923768,605a5b1a-9e82-413b-b93b-3b7ef8443a2b
shoot,40,SM154923768,60dfe40c-905c-4460-b78c-b5f00b0d765a
headed,39,SM154923768,5e420f8a-d201-43b2-9525-9d4236ab7be6
pass,32,SM154923768,21c5777d-8ad3-4fbd-8249-65fa76c401b6
defend,73,SM154923768,f58b9afe-6a6d-4195-8049-7597167073e3
skill,58,SM154923768,1f29f6bd-eda2-4970-a3a5-15cea9b5bac9
speed,32,SM389756673,5ca28573-b9d8-4544-ac99-e23c855e39b8
stamina,71,SM389756673,97819bbd-601c-463b-9a4f-f510bdb039e3
shoot,65,SM389756673,156edbf2-7fff-472e-b300-6ae68fbca03a
headed,68,SM389756673,168f3e0c-9c69-479b-9f89-90b72628ec53
pass,28,SM389756673,bca2ece0-997e-4d45-a065-2b6578178010
defend,97,SM389756673,a4fa9549-4189-4cbe-9b0d-cfc02709fa85
skill,27,SM389756673,dfd1cf24-4dd3-4a3f-bb06-d41e8b7b410c
speed,28,SM294555647,67056ad9-a49c-45c3-88d8-7b6d2642dd4e
stamina,77,SM294555647,f533613a-14f2-4e5e-ab50-fd117a26d147
shoot,11,SM294555647,6e675871-9778-406d-9a42-2be10f652d48
headed,64,SM294555647,988776e6-d915-4452-a926-271916dad961
pass,13,SM294555647,422a8fa6-2f49-432c-b5e9-abd398a6defe
defend,77,SM294555647,2fc85a8d-d702-48be-886d-43e9c0f04859
skill,16,SM294555647,e6670c9d-16d4-4595-9507-2cd22f41d18e
speed,44,SM206359832,2a2f6bba-9509-427c-8142-56fab7e97892
stamina,48,SM206359832,76a86cb1-d7a6-486c-966e-564fb56fdc6d
shoot,32,SM206359832,bf881d79-408c-4dfb-bd61-d0965126d141
headed,39,SM206359832,43b45314-1a67-4ec1-b202-3f29d174b2d3
pass,25,SM206359832,479af4be-4d33-4870-bc55-089a4779c220
defend,64,SM206359832,1bc0476f-574b-4fa0-baa7-778de866b901
skill,55,SM206359832,a2e191f1-89e0-4156-b6ab-b8c0aa936d68
speed,86,SM397726711,59def687-2008-4e3c-b4f8-69182abae96a
stamina,81,SM397726711,42090f75-f227-462c-ae40-67bf9612c0b5
shoot,69,SM397726711,2e7ac58a-e45c-4262-abb0-e1da77d54582
