detail,position,sportsman_id,uuid
right back,defender,SM300992047,29631650-5abb-4688-bb81-003b16857362
right back,defender,SM474813722,b2d5e693-4731-4190-b9ce-b1a6eea3a835
left back,defender,SM131850129,b98df46a-dfe7-462f-9a1b-f02907640c1b
centre back,defender,SM768887078,e9fda996-8540-4faf-b0dd-418faf58131f
left back,defender,SM153485033,47afe7b9-6705-43a9-a6f3-5cac8e00f975
centre back,defender,SM154923768,75e8c9a6-af09-43db-aad2-faaed10c6f1e
left back,defender,SM389756673,e7af94fd-be68-464c-95fb-5069ba53347f
centre back,defender,SM294555647,9c545dc9-23e3-4eae-b2c1-fc4255e690fe
right back,defender,SM206359832,7f5da7ee-1fbe-4e9e-ab83-74cbd9cdc08d
centre back,defender,SM397726711,54d1207e-136c-4f42-b123-bdd6d94bcb81
"",goalkeeper,SM344900800,1e116776-e3e8-4bfc-b86d-3e17bb01cd68
"",goalkeeper,SM913889028,d51bac50-af4b-4920-83f2-e186ce159e99
"",goalkeeper,SM118473181,e07974d8-9411-4f59-8fbe-f3c90d761eb4
attack midfield,midfied,SM687860620,a640db6a-f963-4f8c-a829-d3522a075829
right half,midfied,SM325440477,28c50742-b34b-4a37-b73a-5df2fbcd7291
left half,midfied,SM935622941,f7f015c7-316d-4db2-8db9-728742e5f8a4
centre half,midfied,SM212461688,64ebe3ad-44d0-4512-aacb-a0e9be3db9ee
attack midfield,midfied,SM458494930,00bd2843-a2f2-4644-81a1-f4df6573f325
right half,midfied,SM264225459,0449e360-7938-4fa6-b743-735eef549c47
centre half,midfied,SM408122171,a6d24261-0df7-4849-8e42-278071977ef9
defensive midfielde,midfied,SM180892043,a5a09d54-7b9b-4bc2-91bf-2326de904999
centre half,midfied,SM629792315,ef75e175-effa-494e-8501-9c4866be38a4
left half,midfied,SM355716384,f9d8877f-2e40-4174-9afc-2400130e5d62
centre forward,striker,SM107978387,acea6c50-236f-4985-a67f-0f79095ebb98
wing forward,striker,SM472224662,c2311ff5-be83-4970-a8d6-066a5a9f2493
centre forward,striker,SM467054194,17e1d635-c3d0-4b15-9c74-989871400844
centre forward,striker,SM396207979,5283cde0-07bc-40d1-ab20-c95ecd3adb6b
centre forward,striker,SM320603051,8763a1c9-fcbe-4167-a6b8-9e89bfaeb92b
wing forward,striker,SM289966554,69b070ce-db47-42a1-9db6-29615f8554ef
left back,defender,SM378485317,5de12f49-0671-42ff-a20b-89f36340a881
right back,defender,SM940412127,dc9fbd82-2753-4fea-ab20-1f8a621d472f
left back,defender,SM193075030,3a6364b0-8733-41f3-9a29-05da0e78e8f5
right back,defender,SM669145560,f64ae1df-30f8-4c51-be20-a8de87595b35
right back,defender,SM705454198,2418e047-3d51-461d-bfc5-966676219540
centre back,defender,SM994495567,efdf51e0-5304-4a1a-9a10-527f1c2d2ad8
right back,defender,SM223388675,c6ed8689-1f97-44e0-b7d5-40b44170b19c
left back,defender,SM375354506,51dd446b-b439-4072-b824-18c810d074ea
left back,defender,SM958816301,fefe3083-66b5-4002-a1be-fe51277253eb
