city,home,home_capacity,team_id,training_field,uuid
Anning,Anning C stadium,42485,TA886026090,Anning Amber_Air base,5e5fe418-21dd-45be-8cf8-fc0a251b399b
Beiliu,Beiliu P stadium,36623,TA629718188,Beiliu Technology Always base,6d663153-1e88-45e3-b713-4fe8c8bebb7b
Chibi,Chibi N stadium,36767,TA776136838,Chibi Catering Home base,ab7af8ce-c0e3-43ff-a47f-0bdf6f980f13
Chikusa-ku,Chikusa-ku G stadium,35817,TA706702981,Chikusa-ku Culebra_Air_Services base,1bee47c0-2577-41fd-8b49-9d76ab60d50d
Incheon,Incheon D stadium,42763,TA601733961,Incheon Finnair base,986726ee-1f94-452f-a86e-268c90672516
Panama_City,Panama_City C stadium,43339,TA413735321,Panama_City Express_Air base,6839a1ca-a67f-4e7e-92e2-4c47f49c6332
Changde,Changde S stadium,48368,TA915057590,Changde Slovak_Airlines base,bd222b69-75cc-49f7-9eb1-0b822f28a482
Rewari,Rewari N stadium,48497,TA314596575,Rewari Meteor Industry base,6456c4b5-8240-4e49-ba28-9d6d59c28b4f
Tallahassee,Tallahassee H stadium,36611,TA436037898,Tallahassee Yamal_Airlines base,c58dd37f-b47a-43b7-971b-2f7db6f10784
Abbottabad,Abbottabad T stadium,50533,TA272106805,Abbottabad Ocean_Airlines base,53c2e962-729c-41c7-85d9-83c444aad248
Mexico_City,Mexico_City Q stadium,44628,TA531233521,Mexico_City Blue1 base,c2ba0784-fb24-456f-bbfc-e3d74fd63671
Vologda,Vologda G stadium,52487,TA379486547,Vologda Ural_Airlines base,36d9bd07-1d71-4a0c-834f-d3f2f0d96823
Ambon,Ambon G stadium,39242,TA907457214,Ambon EastIndo base,244aa534-ad98-4ce9-bf20-93da6acfba4b
Yinchuan,Yinchuan M stadium,42366,TA577754000,Yinchuan Estonian_Air base,3a7a327f-394d-4d4c-ba70-de436a4984f4
Wrocław,Wrocław A stadium,39642,TA294835228,Wrocław TrueLife Sport base,011df760-3e7f-4e3a-b07c-013e7450d2c8
Karditsa,Karditsa G stadium,52005,TA719819744,Karditsa HD_Air_Ltd base,8c2d7a14-fe35-4a82-a27e-10a6d18b5b2b
Ndola,Ndola I stadium,40121,TA708424706,Ndola New Sport base,b5ef3dc5-1547-479e-806b-a7ce5b92cbc3
Puerto_Montt,Puerto_Montt M stadium,39302,TA172793882,Puerto_Montt Mid-Atlantic_Freight base,dffcc838-20fb-4a1c-bc9e-564e5ba9b5a4
Pray_Veng,Pray_Veng M stadium,51874,TA904994027,Pray_Veng Xiamen_Airlines base,074e88b2-7cde-4971-b36a-ad5baecf736a
Davao_City,Davao_City S stadium,50420,TA995570029,Davao_City SkyEurope base,ef7b0685-13f5-43b0-8999-9e01a40e2476
San_Miguel_de_Tucumán,San_Miguel_de_Tucumán H stadium,48337,TA186931697,San_Miguel_de_Tucumán Cougar_Helicopters base,62cd9614-3504-4d8c-9e8e-50a942e6554d
Siem_Reap,Siem_Reap P stadium,40335,TA168780750,Siem_Reap Orange_Aviation base,c43a6346-242e-4a62-9375-459bd5a77797
Manado,Manado N stadium,40795,TA590392989,Manado Sterling_Airlines base,c3a6058f-b317-4e78-be1e-973d2cd70a82
Lima,Lima D stadium,35018,TA476673413,Lima Mount_Cook_Airline base,b2fbb256-5a11-4145-8912-8687eafc20e5
Vallabh_Vidhyanagar,Vallabh_Vidhyanagar P stadium,35221,TA128277945,Vallabh_Vidhyanagar Industry Profits base,7dd80896-f020-4554-8a2f-029fc9bbd616
Brașov,Brașov G stadium,45175,TA126196670,Brașov Euro-Asia_Air base,a842ad17-4ef0-4e72-8ac0-c6c8485584e9
